Postcode,Area (km2),Population,Population Density (Person per km2)
E1,4.30,86974,20226.51
E10,5.05,48490,9601.98
E11,8.78,61735,7031.32
E12,5.13,43771,8532.36
E13,3.45,51677,14978.84
E14,7.04,85374,12126.99
E15,7.10,56990,8026.76
E16,8.35,50557,6054.73
E17,13.84,107727,7783.74
E18,3.03,20647,6814.19
E1W,1.10,17478,15889.09
E2,2.80,52019,18578.21
E3,4.82,56954,11816.18
E4,18.58,63857,3436.87
E5,4.52,54174,11985.40
E6,9.84,83479,8483.64
E7,3.78,59592,15765.08
E8,2.77,47496,17146.57
E9,4.81,41142,8553.43
EC1A,0.27,3121,11559.26
EC1M,0.22,4904,22290.91
EC1N,0.18,4388,24377.78
EC1R,0.44,9104,20690.91
EC1V,0.87,19265,22143.68
EC1Y,0.29,7375,25431.03
EC2A,0.44,3884,8827.27
EC2M,0.29,2144,7393.10
EC2N,0.09,424,4711.11
EC2R,0.11,1025,9318.18
EC2V,0.18,1424,7911.11
EC2Y,0.24,4110,17125.00
EC3A,0.13,876,6738.46
EC3M,0.08,651,8137.50
EC3N,0.28,1628,5814.29
EC3R,0.14,651,4650.00
EC3V,0.10,651,6510.00
EC4A,0.17,2133,12547.06
EC4M,0.18,1387,7705.56
EC4N,0.10,1019,10190.00
EC4R,0.12,743,6191.67
EC4V,0.23,1387,6030.43
EC4Y,0.18,1214,6744.44
N1,5.93,96960,16350.76
N10,4.14,29459,7115.70
N11,4.93,35756,7252.74
N12,5.58,33322,5971.68
N13,4.33,36593,8451.04
N14,7.18,36242,5047.63
N15,3.61,51644,14305.82
N16,4.63,76236,16465.66
N17,7.48,67508,9025.13
N18,5.11,35039,6856.95
N19,2.46,39904,16221.14
N2,4.92,26102,5305.28
N20,9.54,22939,2404.51
N21,5.95,26894,4520.00
N22,4.90,49270,10055.10
N3,4.05,30342,7491.85
N4,4.21,54673,12986.46
N5,1.81,29737,16429.28
N6,4.39,23991,5464.92
N7,3.44,57478,16708.72
N8,3.73,42941,11512.33
N9,8.40,55467,6603.21
NW1,5.89,71583,12153.31
NW10,14.72,101745,6912.02
NW11,5.62,37355,6646.80
NW2,8.90,78309,8798.76
NW3,6.81,60279,8851.54
NW4,5.79,35066,6056.30
NW5,3.02,37735,12495.03
NW6,5.13,74342,14491.62
NW7,12.29,28609,2327.83
NW8,2.69,40303,14982.53
NW9,10.20,66140,6484.31
SE1,5.92,76572,12934.46
SE10,5.08,26183,5154.13
SE11,1.68,24766,14741.67
SE12,5.15,30971,6013.79
SE13,4.22,45975,10894.55
SE14,2.52,29098,11546.83
SE15,5.85,70767,12096.92
SE16,4.60,53917,11721.09
SE17,1.89,36067,19083.07
SE18,10.33,81918,7930.11
SE19,4.53,31275,6903.97
SE2,5.78,31002,5363.67
SE20,2.90,24721,8524.48
SE21,4.57,20855,4563.46
SE22,3.21,34103,10623.99
SE23,4.18,37668,9011.48
SE24,2.57,25524,9931.52
SE25,4.85,37890,7812.37
SE26,4.27,33514,7848.71
SE27,2.28,24073,10558.33
SE28,5.27,31023,5886.72
SE3,6.94,36541,5265.27
SE4,3.16,33414,10574.05
SE5,4.19,57148,13639.14
SE6,7.20,58042,8061.39
SE7,3.75,22966,6124.27
SE8,2.55,31258,12258.04
SE9,15.02,67582,4499.47
SW10,1.27,20521,16158.27
SW11,5.79,76043,13133.51
SW12,2.89,36152,12509.34
SW13,3.84,17844,4646.88
SW14,3.11,17777,5716.08
SW15,10.80,63441,5874.17
SW16,9.66,88116,9121.74
SW17,6.18,71851,11626.38
SW18,6.79,66035,9725.33
SW19,15.58,83298,5346.47
SW1A,1.19,3369,2831.09
SW1E,0.20,3673,18365.00
SW1H,0.17,3762,22129.41
SW1P,0.89,15557,17479.78
SW1V,1.08,27088,25081.48
SW1W,0.81,10722,13237.04
SW1X,0.80,10742,13427.50
SW1Y,0.28,2092,7471.43
SW2,3.92,60264,15373.47
SW20,5.90,32661,5535.76
SW3,1.90,27795,14628.95
SW4,3.92,52045,13276.79
SW5,0.77,19321,25092.21
SW6,5.25,69129,13167.43
SW7,1.64,24693,15056.71
SW8,3.42,41470,12125.73
SW9,2.93,51079,17433.11
W10,2.60,37966,14602.31
W11,2.03,37474,18460.10
W12,4.98,52287,10499.40
W13,3.86,37954,9832.64
W14,2.27,40152,17688.11
W1B,0.18,4648,25822.22
W1C,0.09,2712,30133.33
W1D,0.22,4118,18718.18
W1F,0.21,3020,14380.95
W1G,0.31,5317,17151.61
W1H,0.41,12933,31543.90
W1J,0.40,3785,9462.50
W1K,0.58,4848,8358.62
W1S,0.23,1674,7278.26
W1T,0.39,8400,21538.46
W1U,0.46,8545,18576.09
W1W,0.27,5879,21774.07
W2,5.17,53884,10422.44
W3,7.42,58142,7835.85
W4,6.50,46145,7099.23
W5,8.03,56342,7016.44
W6,3.06,40082,13098.69
W7,4.28,29935,6994.16
W8,1.86,23897,12847.85
W9,1.92,42919,22353.65
WC1A,0.09,3670,40777.78
WC1B,0.25,4694,18776.00
WC1E,0.24,5635,23479.17
WC1H,0.43,12210,28395.35
WC1N,0.41,11285,27524.39
WC1R,0.11,2386,21690.91
WC1V,0.11,2828,25709.09
WC1X,0.55,15303,27823.64
WC2A,0.21,2064,9828.57
WC2B,0.19,4181,22005.26
WC2E,0.15,3245,21633.33
WC2H,0.27,6807,25211.11
WC2N,0.20,3751,18755.00
WC2R,0.21,2309,10995.24
